	ND	O101	O12	O16	O25	O27	O29	O51	O9a
ST10	2.791154791154791	34.36609336609337	1.3955773955773956	5.756756756756757	20.759213759213758	0.8722358722358723	0.8722358722358723	2.616707616707617	1.57002457002457
ST131	5.857493857493857	72.12039312039312	2.9287469287469285	12.08108108108108	43.565110565110565	1.8304668304668306	1.8304668304668306	5.4914004914004915	3.294840294840295
ST167	7.351351351351352	90.51351351351352	3.675675675675676	15.162162162162161	54.67567567567568	2.2972972972972974	2.2972972972972974	6.891891891891892	4.135135135135135
