	ND	O101	O12	O16	O25	O27	O29	O51	O9a
ST10	8.205763922428124	-6.107115703034027	6.214357225825571	-1.3191630478759206	-5.9612039025345025	4.894514783225413	4.894514783225413	8.584999317395317	6.599596562090938
ST131	-3.101359408871103	-14.849230596805047	-2.170896065281251	6.754724802983415	17.06440540327549	-1.7098281444471322	-1.7098281444471322	-2.999045687480541	-2.305473870981653
ST167	-3.250702597904192	19.004595180828627	-2.633693386127232	-5.524943438624509	-11.95594488342747	-2.074333795828775	-2.074333795828775	-3.638390118316235	-2.7969608416545166
