	O101:H10	O101:H17	O101:H21	O101:H5	O101:H9	O12:H4	O16:H5	O25:H4	O27:H37	O51:H4	O9a:H9	Unknown
ST10	4.751756780838867	-1.778232692936889	-1.4842811990549922	-3.3046814048339455	-4.217399460839438	6.771810110151644	-2.446787382947042	-5.500561324269808	5.333060951803032	8.688416718219981	7.191839232518464	8.964327017320095
ST131	-2.8569225713952013	-3.2841657580256114	-2.7412753733409216	-6.8070709381691765	-8.40706631716695	-2.226704563136796	7.441121651940651	16.72819888361231	-1.753615497732932	-2.8569225713952013	-2.364818412788672	-3.1819247870597565
ST167	-0.6346910483956815	4.465979856263911	3.7277292012120826	8.983181889721774	11.192226979613636	-2.6963520919921966	-5.472007872209788	-12.30148360162136	-2.1234809925575404	-3.459493135986327	-2.8635963567263207	-3.3417940833363393
