	A	B2	Unknown
ST10	7.978637280353522	-8.366105938162661	2.5628201921473357
ST131	-20.861567029345988	21.071307505705477	-1.0175365350328385
ST167	13.153808589620386	-13.022877650532651	-1.2202706341415865
