	fumC11:Unknown	fumC11:fimH215	fumC11:fimH23	fumC11:fimH24	fumC11:fimH25	fumC11:fimH27	fumC11:fimH54	fumC40:fimH30	fumC40:fimH41
ST10	40.32258064516129	1.3824884792626728	2.304147465437788	5.299539170506913	1.152073732718894	2.9953917050691246	12.672811059907835	26.72811059907834	7.142857142857143
ST131	59.274193548387096	2.032258064516129	3.3870967741935485	7.790322580645161	1.6935483870967742	4.403225806451613	18.629032258064516	39.29032258064516	10.5
ST167	75.40322580645162	2.585253456221198	4.308755760368664	9.910138248847927	2.154377880184332	5.6013824884792625	23.69815668202765	49.9815668202765	13.357142857142858
