	fumC11:Unknown	fumC11:fimH215	fumC11:fimH23	fumC11:fimH24	fumC11:fimH25	fumC11:fimH27	fumC11:fimH54	fumC40:fimH30	fumC40:fimH41
ST10	-8.440518987026282	4.507874729785562	5.84702795008341	9.00660476763521	4.110308832026943	6.690348279051837	9.021212257788902	-6.8847324233813465	-3.1615492764986532
ST131	-12.255519521193056	-1.7652910707287914	-2.2897056482922524	-3.527001065232822	-1.609603619011838	-2.6199512597453567	-5.6796859609234875	17.580959778991705	8.073381396879945
ST167	18.8903343904741	-2.1462036645875755	-2.783775851289448	-4.288053532204108	-1.9569221432873622	-3.185281502831663	-2.2431127852945725	-10.947945480717895	-5.027424013773203
